"date","lowest_price","median_price","volume"
"1615219740000","457.32€","467.71€","1"
"1615322760000","489.99€","456.07€","2"
"1615322760000","489.99€","456.07€","2"
"1615322940000","489.99€","456.07€","2"
"1615323540000","489.99€","456.07€","2"
"1615324140000","489.99€","456.07€","2"
"1615326000000","489.99€","456.07€","1"
"1615326360000","489.99€","456.07€","1"
"1615326420000","489.99€","456.07€","1"
"1615326540000","489.99€","456.07€","1"
"1615327860000","489.99€","455.11€","1"
"1615328460000","489.99€","455.11€","1"
"1615329060000","489.99€","455.11€","1"
"1615329660000","489.99€","455.11€","1"
"1615330260000","489.99€","455.11€","1"
"1615330860000","489.99€","455.11€","1"
"1615331460000","489.99€","455.11€","1"
"1615332060000","489.99€","455.11€","1"
"1615332660000","489.99€","455.11€","1"
"1615333260000","489.99€","455.11€","1"
"1615333860000","489.99€","455.11€","1"
"1615334460000","489.99€","455.11€","1"
"1615335000000","489.99€","455.11€","1"
"1615335660000","489.99€","455.11€","1"
"1615336260000","489.99€","455.11€","1"
"1615336860000","489.99€","455.11€","1"
"1615337460000","489.99€","455.11€","1"
"1615338060000","489.99€","455.11€","1"
"1615338660000","489.99€","455.11€","1"
"1615339260000","489.99€","455.11€","1"
"1615339860000","489.99€","455.11€","1"
"1615340460000","489.99€","455.11€","1"
"1615341060000","489.99€","455.11€","1"
"1615341660000","489.99€","455.11€","1"
"1615342260000","489.99€","455.11€","1"
"1615342860000","489.99€","455.11€","1"
"1615343460000","489.99€","455.11€","1"
"1615344060000","489.99€","455.11€","1"
"1615344660000","489.99€","455.11€","1"
"1615345260000","489.99€","455.11€","1"
"1615345860000","489.99€","",""
"1615346460000","489.99€","",""
"1615347060000","489.99€","",""
"1615347660000","489.99€","",""
"1615348260000","489.99€","",""
"1615348860000","489.99€","",""
"1615349460000","489.99€","",""
"1615350060000","489.99€","",""
"1615350660000","489.99€","",""
"1615351260000","489.99€","",""
"1615351860000","489.99€","",""
"1615352460000","489.99€","",""
"1615353060000","489.99€","",""
"1615353660000","489.99€","",""
"1615354260000","489.99€","",""
"1615354860000","489.99€","",""
"1615355460000","489.99€","",""
"1615356060000","489.99€","",""
"1615356660000","489.99€","",""
"1615357260000","489.99€","",""
"1615357860000","489.99€","",""
"1615358460000","489.99€","",""
"1615359060000","489.99€","",""
"1615359660000","489.99€","",""
"1615360260000","489.99€","",""
"1615360860000","489.99€","",""
"1615361460000","489.99€","",""
"1615362060000","489.99€","",""
"1615362660000","489.99€","",""
"1615363260000","489.99€","",""
"1615363860000","489.99€","",""
"1615364460000","489.99€","",""
"1615365060000","489.99€","",""
"1615365660000","489.99€","",""
"1615366260000","489.99€","",""
"1615366860000","489.99€","",""
"1615367460000","","",""
"1615368060000","489.99€","",""
"1615368660000","489.99€","",""
"1615369260000","489.99€","",""
"1615369860000","489.99€","",""
"1615370460000","489.99€","",""
"1615371060000","489.99€","",""
"1615371660000","489.99€","",""
"1615372260000","489.99€","",""
"1615372860000","489.99€","",""
"1615373460000","489.99€","",""
"1615374060000","489.99€","",""
"1615374660000","489.99€","",""
"1615375260000","489.99€","",""
"1615375860000","489.99€","",""
"1615376460000","489.99€","",""
"1615377060000","489.99€","",""
"1615387140000","489.99€","",""
"1615387740000","489.99€","",""
"1615388340000","489.99€","",""
"1615388940000","489.99€","",""
"1615389540000","489.99€","",""
"1615390140000","489.99€","",""
"1615390740000","489.99€","",""
"1615391340000","489.99€","",""
"1615391940000","465.78€","",""
"1615392540000","465.78€","",""
"1615393140000","465.78€","",""
"1615393740000","465.78€","",""
"1615394340000","489.99€","",""
"1615394940000","488.57€","",""
"1615395540000","488.57€","",""
"1615401300000","443.48€","",""
"1615401360000","443.48€","",""
"1615401960000","443.48€","",""
"1615402560000","443.48€","",""
"1615403160000","443.48€","",""
"1615403760000","436.97€","",""
"1615404360000","436.97€","",""
"1615404960000","436.97€","",""
"1615405560000","436.97€","",""
"1615406160000","436.97€","",""
"1615408560000","436.97€","",""
"1615409160000","436.97€","",""
"1615421700000","436.59€","",""
"1615421760000","436.59€","",""
"1615422360000","436.59€","",""
"1615422960000","436.59€","",""
"1615423560000","436.59€","",""
"1615424160000","436.59€","",""
"1615424760000","436.59€","",""
"1615425360000","436.59€","",""
"1615425960000","436.59€","",""
"1615426560000","436.59€","",""
"1615427160000","436.59€","",""
"1615427760000","436.59€","",""
"1615428360000","436.59€","",""
"1615428960000","436.59€","",""
"1615429560000","436.59€","",""
"1615460520000","429.92€","",""
"1615460580000","429.92€","",""
"1615461180000","429.92€","",""
"1615461780000","429.92€","",""
"1615465140000","429.92€","",""
"1615465740000","429.92€","",""
"1615466340000","429.92€","",""
"1615466940000","429.92€","",""
"1615467540000","429.92€","",""
"1615468140000","429.92€","",""
"1615468740000","429.92€","",""
"1615469340000","429.92€","",""
"1615469940000","429.92€","",""
"1615470540000","429.92€","",""
"1615471140000","429.92€","",""
"1615471740000","429.92€","",""
"1615472340000","429.92€","",""
"1615472940000","429.92€","",""
"1615473540000","429.92€","",""
"1615474140000","429.92€","",""
"1615474740000","429.92€","",""
"1615475340000","429.92€","",""
"1615475940000","429.92€","",""
"1615487340000","455.24€","",""
"1615487940000","455.24€","",""
"1615504140000","454.97€","429.02€","1"
"1615504800000","454.97€","429.02€","1"
"1615505340000","454.97€","429.02€","1"
"1615505940000","454.97€","429.02€","1"
"1615506600000","454.97€","429.02€","1"
"1615507140000","454.97€","429.02€","1"
"1615507740000","454.97€","429.02€","1"
"1615508340000","454.97€","429.02€","1"
"1615508940000","454.97€","429.02€","1"
"1615509600000","454.97€","429.02€","1"
"1615510200000","454.97€","429.02€","1"
"1615510800000","454.97€","429.02€","1"
"1615511400000","454.97€","429.02€","1"
"1615512000000","454.97€","429.02€","1"
"1615512600000","454.97€","429.02€","1"
"1615513200000","454.97€","429.02€","1"
"1615513800000","454.97€","429.02€","1"
"1615514400000","454.97€","429.02€","1"
"1615515000000","454.97€","429.02€","1"
"1615515600000","454.97€","429.02€","1"
"1615516200000","454.97€","429.02€","1"
"1615516800000","454.97€","429.02€","1"
"1615517400000","454.97€","429.02€","1"
"1615518000000","454.97€","429.02€","1"
"1615518600000","454.97€","429.02€","1"
"1615519200000","454.97€","429.02€","1"
"1615519800000","454.97€","429.02€","1"
"1615520400000","454.97€","429.02€","1"
"1615521000000","454.97€","429.02€","1"
"1615521600000","454.97€","429.02€","1"
"1615522200000","454.97€","429.02€","1"
"1615522800000","454.97€","429.02€","1"
"1615523400000","454.97€","429.02€","1"
"1615524000000","454.97€","429.02€","1"
"1615524600000","454.97€","429.02€","1"
"1615525200000","454.97€","429.02€","1"
"1615525800000","454.97€","429.02€","1"
"1615526400000","454.97€","429.02€","1"
"1615527000000","454.97€","429.02€","1"
"1615527600000","454.97€","429.02€","1"
"1615528200000","454.97€","429.02€","1"
"1615528800000","454.97€","429.02€","1"
"1615529400000","454.97€","429.02€","1"
"1615530000000","454.97€","429.02€","1"
"1615530600000","454.97€","429.02€","1"
"1615531200000","454.97€","429.02€","1"
"1615531800000","454.97€","429.02€","1"
"1615532400000","454.97€","429.02€","1"
"1615533000000","454.97€","429.02€","1"
"1615533600000","454.97€","429.02€","1"
"1615534200000","454.97€","429.02€","1"
"1615547400000","454.97€","429.02€","1"
"1615548000000","454.97€","429.02€","1"
"1615548600000","454.97€","429.02€","1"
"1615549200000","454.97€","429.02€","1"
"1615549800000","454.97€","429.02€","1"
"1615550400000","454.97€","429.02€","1"
"1615551000000","454.97€","429.02€","1"
