"date","lowest_price","median_price","volume"
"2021-03-07 16:44","1.62€","1.59€","15.958"
"2021-03-07 16:49","1.58€","1.59€","15.958"
"2021-03-07 16:51","1.58€","1.59€","15.958"
"2021-03-07 17:1","1.61€","1.59€","15.958"
"2021-03-07 17:11","1.58€","1.60€","15.623"
"2021-03-07 17:21","1.58€","1.60€","15.623"
"2021-03-07 17:31","1.58€","1.60€","15.623"
"2021-03-07 17:41","1.58€","1.60€","15.623"
"2021-03-07 17:51","1.61€","1.60€","15.623"
"2021-03-07 18:1","1.61€","1.60€","15.623"
"2021-03-07 18:11","1.61€","1.60€","15.184"
"2021-03-07 18:21","1.54€","1.60€","15.184"
"2021-03-07 18:38","1.61€","1.60€","15.184"
"2021-03-07 18:41","1.58€","1.60€","15.184"
"2021-03-07 18:49","1.61€","1.60€","15.184"
"2021-03-07 18:59","1.61€","1.60€","15.184"
"2021-03-07 19:27","1.58€","1.59€","15.114"
"2021-03-07 19:37","1.58€","1.59€","15.114"
"2021-03-07 19:47","1.61€","1.59€","15.114"
"2021-03-07 20:0","1.62€","1.59€","15.114"
"2021-03-07 20:10","1.62€","1.61€","14.839"
"2021-03-07 20:20","1.62€","1.61€","14.839"
"2021-03-07 20:30","1.62€","1.61€","14.839"
"2021-03-07 20:40","1.57€","1.61€","14.839"
"2021-03-07 20:50","1.56€","1.61€","14.839"
"2021-03-07 21:0","1.62€","1.61€","14.839"
"2021-03-07 21:10","1.62€","1.61€","14.970"
"2021-03-07 21:20","1.61€","1.61€","14.970"
"2021-03-07 21:30","1.61€","1.61€","14.970"
"2021-03-07 21:40","1.58€","1.61€","14.970"
"2021-03-07 21:50","1.62€","1.61€","14.970"
"2021-03-07 16:6","1.62€","1.61€","14.970"
"2021-03-07 22:21","1.54€","1.61€","14.905"
"2021-03-07 22:31","1.54€","1.61€","14.905"
"2021-03-07 22:41","1.56€","1.61€","14.905"
"2021-03-07 22:51","1.56€","1.61€","14.905"
"2021-03-07 23:30","1.55€","1.56€","14.625"
"2021-03-07 23:40","1.56€","1.56€","14.625"
"2021-03-07 23:50","1.61€","1.56€","14.625"
"2021-03-08 0:0","1.61€","1.56€","14.625"
"2021-03-08 0:10","1.58€","1.56€","14.625"
"2021-03-08 0:20","1.58€","1.58€","14.492"
"2021-03-08 0:30","1.61€","1.58€","14.492"
"2021-03-08 0:40","1.61€","1.58€","14.492"
"2021-03-08 0:50","1.61€","1.58€","14.492"
"2021-03-08 1:0","1.58€","1.58€","14.492"
"2021-03-08 1:10","1.58€","1.58€","14.492"
"2021-03-08 1:20","1.56€","1.61€","14.410"
"2021-03-08 1:30","1.58€","1.61€","14.410"
"2021-03-08 1:40","1.58€","1.61€","14.410"
"2021-03-08 1:50","1.57€","1.61€","14.410"
"2021-03-08 2:0","1.58€","1.61€","14.410"
"2021-03-08 2:10","1.61€","1.61€","14.410"
"2021-03-08 10:36","1.63€","1.58€","14.087"
"2021-03-08 10:46","1.62€","1.58€","14.087"
"2021-03-08 10:56","1.57€","1.58€","14.087"
"2021-03-08 11:6","1.56€","1.58€","14.087"
"2021-03-08 11:16","1.57€","1.62€","14.191"
"2021-03-08 11:26","1.58€","1.62€","14.191"
"2021-03-08 11:36","1.58€","1.62€","14.191"
"2021-03-08 11:46","1.61€","1.62€","14.191"
"2021-03-08 11:56","1.57€","1.62€","14.191"
"2021-03-08 12:6","1.61€","1.62€","14.191"
"2021-03-08 12:16","1.62€","1.59€","14.008"
"2021-03-08 12:26","1.62€","1.59€","14.008"
"2021-03-08 12:36","1.55€","1.59€","14.008"
"2021-03-08 12:46","1.61€","1.59€","14.008"
"2021-03-08 13:0","1.61€","1.59€","14.008"
"2021-03-08 13:4","1.62€","1.59€","14.008"
"2021-03-08 13:14","1.58€","1.61€","14.062"
"2021-03-08 13:24","1.58€","1.61€","14.062"
"2021-03-08 13:34","1.56€","1.61€","14.062"
"2021-03-08 13:44","1.58€","1.61€","14.062"
"2021-03-08 13:54","1.58€","1.61€","14.062"
"2021-03-08 14:26","1.58€","1.61€","14.062"
"2021-03-08 14:28","1.58€","1.61€","14.062"
"2021-03-08 14:38","1.58€","1.61€","14.062"
"2021-03-08 14:48","1.61€","1.61€","14.062"
"2021-03-08 14:58","1.61€","1.61€","14.062"
"2021-03-08 15:8","1.61€","1.61€","14.062"
"2021-03-08 15:19","1.61€","1.60€","13.694"
"2021-03-08 15:29","1.61€","1.60€","13.694"
"2021-03-08 15:39","1.61€","1.60€","13.694"
"2021-03-08 15:49","1.58€","1.60€","13.694"
"2021-03-08 15:53","1.58€","1.60€","13.694"
"2021-03-08 16:3","1.61€","1.60€","13.694"
"2021-03-08 16:23","1.61€","1.61€","13.785"
"2021-03-08 16:25","1.61€","1.61€","13.785"
"2021-03-08 16:26","1.61€","1.61€","13.785"
"2021-03-08 16:28","1.61€","1.61€","13.785"
"2021-03-08 16:33","1.61€","1.61€","13.785"
"2021-03-08 17:8","1.61€","1.61€","13.785"
"1615219740000","1.61€","1.61€","13.785"
"1615322760000","1.46€","1.51€","12.496"
"1615322760000","1.46€","1.51€","12.496"
"1615322820000","1.46€","1.51€","12.496"
"1615322940000","1.46€","1.51€","12.496"
"1615323540000","1.49€","1.51€","12.496"
"1615324140000","1.49€","1.51€","12.496"
"1615326000000","1.50€","1.45€","12.413"
"1615326360000","1.50€","1.45€","12.413"
"1615326420000","1.49€","1.45€","12.413"
"1615326540000","1.50€","1.45€","12.413"
"1615327860000","1.51€","1.45€","12.413"
"1615328460000","1.52€","1.50€","12.230"
"1615329060000","1.52€","1.50€","12.230"
