"date","lowest_price","median_price","volume"
"2021-03-07 18:49","796.03€","760.--€","3"
"2021-03-07 18:59","796.03€","760.--€","3"
"2021-03-07 19:27","796.03€","760.--€","3"
"2021-03-07 19:37","796.03€","760.--€","3"
"2021-03-07 19:47","796.03€","760.--€","3"
"2021-03-07 20:0","796.03€","760.--€","3"
"2021-03-07 20:10","796.03€","760.--€","3"
"2021-03-07 20:20","796.03€","760.--€","3"
"2021-03-07 20:30","796.03€","760.--€","3"
"2021-03-07 20:40","796.03€","760.--€","3"
"2021-03-07 20:50","796.03€","760.--€","3"
"2021-03-07 21:0","796.03€","760.--€","3"
"2021-03-07 21:10","796.03€","760.--€","3"
"2021-03-07 21:20","796.03€","760.--€","3"
"2021-03-07 21:30","796.03€","760.--€","3"
"2021-03-07 21:40","796.03€","760.--€","3"
"2021-03-07 21:50","796.03€","760.--€","3"
"2021-03-07 16:6","796.03€","760.--€","3"
"2021-03-07 22:21","796.03€","760.--€","3"
"2021-03-07 22:31","796.03€","760.--€","3"
"2021-03-07 22:41","796.03€","760.--€","3"
"2021-03-07 22:51","796.03€","760.--€","3"
"2021-03-07 23:1","796.03€","760.--€","3"
"2021-03-07 23:30","796.03€","760.--€","3"
"2021-03-07 23:40","796.03€","760.--€","3"
"2021-03-07 23:50","796.03€","760.--€","3"
"2021-03-08 0:0","796.03€","760.--€","3"
"2021-03-08 0:10","796.03€","760.--€","3"
"2021-03-08 0:20","796.03€","760.--€","3"
"2021-03-08 0:30","796.03€","760.--€","3"
"2021-03-08 0:40","796.03€","760.--€","3"
"2021-03-08 0:50","796.03€","760.--€","3"
"2021-03-08 1:0","796.03€","760.--€","3"
"2021-03-08 1:10","796.03€","760.--€","3"
"2021-03-08 1:20","796.03€","760.--€","2"
"2021-03-08 1:30","796.03€","760.--€","2"
"2021-03-08 1:40","796.03€","760.--€","2"
"2021-03-08 1:50","796.03€","760.--€","2"
"2021-03-08 2:0","796.03€","760.--€","2"
"2021-03-08 10:36","796.03€","756.15€","2"
"2021-03-08 10:46","796.03€","756.15€","2"
"2021-03-08 10:56","796.03€","756.15€","2"
"2021-03-08 11:6","796.03€","756.15€","2"
"2021-03-08 11:16","796.03€","756.15€","2"
"2021-03-08 11:26","796.03€","756.15€","2"
"2021-03-08 11:36","796.03€","756.15€","2"
"2021-03-08 11:46","796.03€","756.15€","2"
"2021-03-08 11:56","796.03€","756.15€","2"
"2021-03-08 12:6","796.03€","756.15€","2"
"2021-03-08 12:16","796.03€","756.15€","2"
"2021-03-08 12:26","796.03€","756.15€","2"
"2021-03-08 12:36","796.03€","756.15€","2"
"2021-03-08 12:46","796.03€","756.15€","2"
"2021-03-08 13:0","796.03€","756.15€","2"
"2021-03-08 13:4","796.03€","756.15€","2"
"2021-03-08 13:14","796.03€","756.15€","2"
"2021-03-08 13:24","796.03€","756.15€","2"
"2021-03-08 13:34","796.03€","756.15€","2"
"2021-03-08 13:44","796.03€","756.15€","2"
"2021-03-08 13:54","796.03€","756.15€","2"
"2021-03-08 14:26","796.03€","756.15€","1"
"2021-03-08 14:28","796.03€","756.15€","1"
"2021-03-08 14:38","796.03€","756.15€","1"
"2021-03-08 14:48","796.03€","756.15€","1"
"2021-03-08 14:58","796.03€","756.15€","1"
"2021-03-08 15:8","796.03€","756.15€","1"
"2021-03-08 15:19","796.03€","756.15€","1"
"2021-03-08 15:29","796.03€","756.15€","1"
"2021-03-08 15:39","796.03€","756.15€","1"
"2021-03-08 15:49","796.03€","756.15€","1"
"2021-03-08 16:3","796.03€","756.15€","1"
"2021-03-08 16:23","796.03€","756.15€","1"
"2021-03-08 16:25","796.03€","756.15€","1"
"2021-03-08 16:26","796.03€","756.15€","1"
"2021-03-08 16:27","796.03€","756.15€","1"
"2021-03-08 16:28","796.03€","756.15€","1"
"2021-03-08 16:33","796.03€","756.15€","1"
"2021-03-08 17:8","796.03€","756.15€","1"
"1615219740000","796.03€","756.15€","1"
<<<<<<< HEAD
"1615322760000","790.90€","800.37€","2"
"1615322940000","790.90€","800.37€","2"
"1615323540000","790.90€","800.37€","2"
"1615324140000","790.90€","800.37€","2"
"1615326000000","788.--€","800.37€","2"
"1615326360000","788.--€","800.37€","2"
"1615326540000","788.--€","800.37€","2"
"1615327860000","788.--€","798.69€","2"
"1615328460000","782.96€","798.69€","1"
"1615329060000","782.96€","798.69€","1"
"1615329660000","782.96€","798.69€","1"
"1615330260000","782.96€","798.69€","1"
"1615330860000","782.96€","798.69€","1"
"1615331460000","782.96€","798.69€","1"
"1615332060000","782.96€","798.69€","1"
"1615332660000","782.96€","798.69€","1"
"1615333260000","782.96€","798.69€","1"
"1615333860000","782.96€","798.69€","1"
"1615334460000","782.96€","798.69€","1"
"1615335000000","782.96€","798.69€","1"
"1615335660000","782.96€","798.69€","1"
"1615336260000","782.96€","798.69€","1"
"1615336860000","782.96€","798.69€","1"
"1615337460000","782.96€","798.69€","1"
"1615338060000","782.96€","798.69€","1"
"1615338660000","782.96€","798.69€","1"
"1615339260000","782.96€","798.69€","1"
"1615339860000","782.96€","798.69€","1"
"1615340460000","782.96€","798.69€","1"
"1615341060000","782.96€","798.69€","1"
"1615341660000","782.96€","798.69€","1"
"1615342260000","782.96€","798.69€","1"
"1615342860000","782.96€","",""
"1615343460000","782.96€","",""
"1615344060000","782.96€","",""
"1615344660000","782.96€","",""
"1615345260000","782.96€","",""
"1615345860000","782.96€","",""
"1615346460000","782.96€","",""
"1615347060000","782.96€","",""
"1615347660000","782.96€","",""
"1615348260000","782.96€","",""
"1615348860000","782.96€","",""
"1615349460000","782.96€","",""
"1615350060000","782.96€","",""
"1615350660000","782.96€","",""
"1615351260000","782.96€","",""
"1615351860000","782.96€","",""
"1615352460000","782.96€","",""
"1615353060000","782.96€","",""
"1615353660000","782.96€","",""
"1615354260000","782.96€","",""
"1615354860000","782.96€","",""
"1615355460000","782.96€","",""
"1615356060000","782.96€","",""
"1615356660000","782.96€","",""
"1615357260000","782.96€","",""
"1615357860000","782.96€","",""
"1615358460000","782.96€","",""
"1615359060000","782.96€","",""
"1615359660000","782.96€","",""
"1615360260000","782.96€","",""
"1615360860000","782.96€","",""
"1615361460000","782.96€","",""
"1615362060000","782.96€","",""
"1615362660000","782.96€","",""
"1615363260000","782.96€","",""
"1615363860000","782.96€","",""
"1615364460000","782.96€","",""
"1615365060000","782.96€","",""
"1615365660000","782.96€","",""
"1615366260000","782.96€","",""
"1615366860000","782.96€","",""
"1615367460000","782.96€","",""
"1615368060000","782.96€","",""
"1615368660000","782.96€","",""
"1615369260000","782.96€","",""
"1615369860000","782.96€","",""
"1615370460000","782.96€","",""
"1615371060000","782.96€","",""
"1615371660000","782.96€","",""
"1615372260000","782.96€","",""
"1615372860000","782.96€","",""
"1615373460000","782.96€","",""
"1615374060000","782.96€","",""
